id,pasangan_mapel,konsep_A,mapel_A,relasi_diusulkan,konsep_B,mapel_B,penjelasan_LLM,1_relasi_valid? (Ya/Tidak),2_tipe_relasi_benar? (Benar/Salah),2b_jika_salah_tipe_yg_benar,3_arah_benar? (Benar/Terbalik/NA),komentar
LB001,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Penyuntingan Genom (Genome Editing),Biologi,Pemahaman struktur kimia DNA (Kimia) adalah prasyarat untuk memahami mekanisme penyuntingan genom (Biologi).,,,,,
LB002,Biologi <-> Kimia,Gugus Fungsi,Kimia,PRASYARAT_UNTUK,Holoenzim,Biologi,Pemahaman tentang gugus fungsi (Kimia) adalah prasyarat untuk memahami sifat kimia gugus prostetik yang esensial dalam holoenzim (Biologi).,,,,,
LB003,Biologi <-> Fisika,Energi Aktivasi,Biologi,BERKAITAN_DENGAN,Fungsi Kerja Logam (W0),Fisika,"Kedua konsep ini berkaitan dengan ide energi ambang minimum yang diperlukan untuk memulai suatu proses, meskipun dalam konteks yang berbeda.",,,,,
LB004,Biologi <-> Kimia,Protein,Kimia,MEMPERDALAM,Translasi,Biologi,Konsep protein (Kimia) memperdalam pemahaman tentang translasi (Biologi) dengan menjelaskan struktur dan fungsi produk akhir yang dihasilkan oleh proses tersebut.,,,,,
LB005,Fisika <-> Kimia,Potensial Elektrode,Kimia,APLIKASI_DARI,muatan kapasitor keping sejajar dan hubungan medan dan potensial listrik pelat paralel,Fisika,Konsep potensial elektrode (Kimia) merupakan aplikasi spesifik dari prinsip-prinsip potensial listrik dan medan listrik (Fisika) dalam konteks reaksi kimia.,,,,,
LB006,Biologi <-> Kimia,Elektrode,Kimia,MEMPERDALAM,Fosforilasi Oksidatif,Biologi,"Konsep elektrode dalam kimia, yang melibatkan transfer elektron dan reaksi redoks, memperdalam pemahaman tentang transpor elektron dalam fosforilasi oksidatif biologi.",,,,,
LB007,Biologi <-> Kimia,Respirasi Seluler,Biologi,MEMPERDALAM,Sel Volta,Kimia,Prinsip konversi energi kimia melalui reaksi redoks pada Sel Volta (Kimia) memperdalam pemahaman mekanisme pembentukan energi dalam Respirasi Seluler (Biologi).,,,,,
LB008,Fisika <-> Kimia,alat ukur listrik,Fisika,PRASYARAT_UNTUK,ggl sel,Kimia,Pengetahuan alat ukur listrik dari Fisika adalah prasyarat untuk mengukur dan memahami gaya gerak listrik (ggl) sel dalam Kimia.,,,,,
LB009,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Kromosom,Biologi,Pemahaman DNA (Kimia) sebagai penyusun utama adalah prasyarat untuk memahami struktur dan fungsi kromosom (Biologi).,,,,,
LB010,Biologi <-> Kimia,Polimer Sintetik,Kimia,BERKAITAN_DENGAN,Sintesis Protein,Biologi,"Kedua konsep ini berkaitan dengan pembentukan molekul besar (polimer) dari unit-unit kecil, meskipun satu adalah buatan manusia dan yang lain adalah proses biologis.",,,,,
LB011,Biologi <-> Kimia,Fosforilasi Oksidatif,Biologi,MEMPERDALAM,Reaksi Reduksi Senyawa Organik,Kimia,Pemahaman reaksi reduksi senyawa organik dari kimia memperdalam pemahaman tentang peran NADH dan FADH2 sebagai pembawa elektron tereduksi dalam fosforilasi oksidatif.,,,,,
LB012,Biologi <-> Kimia,Asam Amino,Kimia,PRASYARAT_UNTUK,Translasi,Biologi,Pemahaman asam amino sebagai monomer protein adalah prasyarat untuk memahami produk dan mekanisme proses translasi.,,,,,
LB013,Fisika <-> Kimia,Elektrode Hidrogen Standar,Kimia,APLIKASI_DARI,Potensial Listrik,Fisika,Elektrode Hidrogen Standar (Kimia) adalah aplikasi spesifik dari konsep potensial listrik (Fisika) sebagai titik acuan dalam skala potensial elektrode.,,,,,
LB014,Fisika <-> Kimia,Potensial Listrik,Fisika,MEMPERDALAM,Reaksi Elektrokimia,Kimia,Konsep potensial listrik dari Fisika memberikan dasar pemahaman tentang voltase atau energi listrik yang terlibat dalam reaksi elektrokimia di Kimia.,,,,,
LB015,Biologi <-> Kimia,Fosforilasi Oksidatif,Biologi,PRASYARAT_UNTUK,Reduksi,Kimia,Pemahaman konsep Reduksi (Kimia) sangat penting sebagai prasyarat untuk memahami proses transpor elektron dalam Fosforilasi Oksidatif (Biologi).,,,,,
LB016,Fisika <-> Kimia,Potensial Listrik,Fisika,MEMPERDALAM,Sel Volta,Kimia,Konsep potensial listrik (Fisika) memperdalam pemahaman tentang bagaimana sel Volta (Kimia) menghasilkan energi listrik dalam bentuk tegangan.,,,,,
LB017,Fisika <-> Kimia,Hukum II Kirchhoff (Hukum Tegangan Kirchhoff),Fisika,PRASYARAT_UNTUK,ggl sel,Kimia,Hukum II Kirchhoff (Fisika) adalah prasyarat untuk memahami kontribusi ggl sel (Kimia) pada tegangan dan arus dalam rangkaian listrik.,,,,,
LB018,Biologi <-> Kimia,Monomer,Kimia,PRASYARAT_UNTUK,Translasi,Biologi,Konsep monomer dari kimia adalah prasyarat untuk memahami bagaimana translasi membentuk polipeptida dari unit-unit asam amino.,,,,,
LB019,Biologi <-> Kimia,Bilangan Oksidasi,Kimia,PRASYARAT_UNTUK,Fosforilasi Oksidatif,Biologi,Konsep bilangan oksidasi (Kimia) adalah prasyarat untuk memahami perubahan redoks molekuler yang terjadi selama fosforilasi oksidatif (Biologi).,,,,,
LB020,Biologi <-> Kimia,Enzim,Biologi,PRASYARAT_UNTUK,Gugus Fungsi,Kimia,Pemahaman gugus fungsi dalam Kimia adalah prasyarat untuk memahami mekanisme kerja dan interaksi enzim di Biologi.,,,,,
LB021,Biologi <-> Fisika,Fotoelektron,Fisika,BERKAITAN_DENGAN,Fotosintesis,Biologi,"Kedua konsep ini berkaitan dengan interaksi cahaya dan elektron, namun dalam konteks dan mekanisme yang sangat berbeda antara fisika dan biologi.",,,,,
LB022,Fisika <-> Kimia,Fungsi Kerja Logam (W0),Fisika,BERKAITAN_DENGAN,Pelapisan Logam (Electroplating),Kimia,"Kedua konsep berkaitan dengan sifat-sifat logam dan perilaku elektron, namun tidak ada hubungan prasyarat atau aplikasi langsung.",,,,,
LB023,Biologi <-> Kimia,Nukleotida,Kimia,PRASYARAT_UNTUK,Translasi,Biologi,Pemahaman nukleotida sebagai penyusun mRNA adalah prasyarat untuk memahami bagaimana mRNA berfungsi sebagai cetakan translasi.,,,,,
LB024,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,MEMPERDALAM,Replikasi DNA,Biologi,Pemahaman DNA dari sudut pandang kimia memperdalam pengertian tentang mekanisme replikasi DNA secara biologis.,,,,,
LB025,Biologi <-> Kimia,Holoenzim,Biologi,MEMPERDALAM,Koagulasi,Kimia,Konsep koagulasi dari Kimia memperdalam pemahaman tentang bagaimana kerusakan struktur protein enzim (holoenzim) dapat terjadi di Biologi.,,,,,
LB026,Fisika <-> Kimia,Potensial Elektrode Standar,Kimia,APLIKASI_DARI,Potensial Listrik,Fisika,"Potensial Elektrode Standar adalah nilai terukur dari Potensial Elektrode, yang merupakan aplikasi dari konsep Potensial Listrik dalam konteks kimia.",,,,,
LB027,Biologi <-> Kimia,Biodegradable Plastic,Kimia,APLIKASI_DARI,Biodegradasi,Biologi,"Biodegradable Plastic adalah jenis material yang dirancang untuk mengalami proses Biodegradasi, sebuah konsep biologis tentang penguraian bahan organik.",,,,,
LB028,Fisika <-> Kimia,Sistem Elektronika,Fisika,BERKAITAN_DENGAN,sel elektrokimia,Kimia,"Kedua konsep ini berkaitan dengan listrik, namun sistem elektronika berfokus pada sirkuit, sementara sel elektrokimia pada reaksi kimia yang menghasilkan listrik.",,,,,
LB029,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Mitosis,Biologi,Pemahaman struktur kimia DNA (Kimia) adalah prasyarat untuk memahami bagaimana materi genetik tersebut direplikasi dan didistribusikan selama mitosis (Biologi).,,,,,
LB030,Biologi <-> Kimia,Energi Aktivasi,Biologi,PRASYARAT_UNTUK,Reaksi Elektrokimia,Kimia,Konsep Energi Aktivasi dalam biologi (dan kimia umum) adalah prasyarat untuk memahami mengapa Reaksi Elektrokimia memerlukan energi untuk memulai atau berlangsung.,,,,,
LB031,Biologi <-> Kimia,DNA (Deoxyribonucleic Acid),Biologi,APLIKASI_DARI,Nukleotida,Kimia,Konsep DNA dalam biologi merupakan penerapan dari konsep nukleotida kimia sebagai unit penyusun dasarnya.,,,,,
